,target,input-data,num_char,num_words,num_sent,cleaned_text
33,0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,18,2,fear faint housework quick cuppa
34,1,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,159,32,2,thank subscript rington uk mobil charg confirm repli ye
35,0,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,123,32,4,yup ok home look time msg ì xuhui go learn nd lesson
36,0,"Oops, I'll let you know when my roommate's done",47,12,1,oop ill let know roommat
37,0,I see the letter B on my car,28,8,1,letter b car
38,0,Anything lor... U decide...,27,6,2,lor u decid
39,0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,37,4,hello s saturday text d decid tomo m tri invit
40,0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,20,4,pl ahead watt want sure great weekend abiola
41,0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,35,6,forget tell want need crave love sweet arabian steed mmmmmm yummi
42,1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,34,2,rodger burn msg tri repli sm free nokia mobil camcord deliveri tomorrow
43,0,WHO ARE YOU SEEING?,19,5,1,see
44,0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,20,3,great hope like man endow ltgt inch
45,0,No calls..messages..missed calls,32,7,1,callsmessagesmiss call
46,0,Didn't you get hep b immunisation in nigeria.,45,10,1,nt hep b immunis nigeria
47,0,"Fair enough, anything going on?",31,7,1,fair go
48,0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,16,2,yeah hope tyler nt mayb ask bit
49,0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,37,4,u nt know stubborn want hospit kept tell mark m weak sucker
50,0,What you thinked about me. First time you saw me in class.,58,14,2,think time saw class
51,0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,29,1,gram usual run like ltgt half eighth smarter get second
52,0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,17,2,k fyi x ride earli tomorrow morn s crash place tonight
53,0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",291,69,6,wow realiz embarass accomod thought like best happi cave m sorri nt offer room
54,1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,27,5,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli
55,0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,17,2,know mallika sherawat yesterday find lturlgt
56,1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,42,6,congrat year special cinema pas c suprman v matrix starwar etc free bxipw pm nt miss
57,0,"Sorry, I'll call later in meeting.",34,9,1,sorri ill later meet
58,0,Tell where you reached,22,4,1,tell reach
59,0,Yes..gauti and sehwag out of odi series.,40,10,1,yesgauti sehwag odi seri
60,0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,29,3,gon na pick burger way home nt pain kill
61,0,Ha ha ha good joke. Girls are situation seekers.,48,11,2,ha good joke girl situat seeker
62,0,Its a part of checking IQ,25,6,1,check iq
63,0,"Sorry my roommates took forever, it ok if I come by now?",56,14,1,sorri roommat took forev ok come
64,0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,26,2,ok lar doubl check wif da hair dresser said wun cut v short look nice
65,1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",153,31,2,valu custom plea advis follow recent review mob award bonu prize
66,0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",124,29,2,today song dedic day u send ur valuabl frnd rpli
67,1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",161,28,3,urgent ur award complimentari trip eurodisinc trav acoentri claim txt di shracomorsglsuplt l aj
68,1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",80,20,2,hear new divorc barbi come ken stuff
69,0,I plane to give on this month end.,34,9,1,plane month end
70,0,Wah lucky man... Then can save money... Hee...,46,11,2,wah lucki man save money hee
71,0,Finished class where are you.,29,6,1,finish class
72,0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,11,2,hi babe m home wanna xx
73,0,K..k:)where are you?how did you performed?,42,9,1,kkwhere youhow perform
74,0,U can call me now...,20,6,1,u
75,0,I am waiting machan. Call me once you free.,43,11,2,wait machan free
76,0,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,17,2,s cool gentleman treat digniti respect
77,0,I like you peoples very much:) but am very shy pa.,50,13,1,like peopl shi pa
78,0,Does not operate after  &lt;#&gt;  or what,42,11,1,oper ltgt
79,0,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,20,3,look job ta earn
80,0,"Sorry, I'll call later",22,6,1,sorri ill later
81,0,K. Did you call me just now ah? ,32,9,1,k ah
82,0,Ok i am on the way to home hi hi,32,10,1,ok way home hi
83,0,You will be in the place of that man,36,9,1,place man
84,0,Yup next stop.,14,4,1,yup stop
85,0,"I call you later, don't have network. If urgnt, sms me.",55,16,2,later nt network urgnt sm
86,0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,30,3,real u get yo need ticket jacket m multi
87,0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,36,3,ye start send request pain came m bed doubl coin factori got ta cash nitro
88,0,I'm really not up to it still tonight babe,42,10,1,m tonight babe
89,0,"Ela kano.,il download, come wen ur free..",41,11,2,ela kanoil download come wen ur free
90,0,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,62,12,3,yeah stand close tho catch
91,0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,44,5,sorri pain ok meet night spent late afternoon casualti mean nt y stuffmoro includ time sheet
92,0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,28,1,smile pleasur pain troubl pour like rain sum hurt u becoz love
93,1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,139,24,1,custom servic repres ampm won guarante cash prize
94,0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,24,3,nt plan buy later check lido got e afternoon u finish work
95,1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",125,26,4,free rington wait collect simpli text password mix verifi usher britney fml
96,0,Watching telugu movie..wat abt u?,33,8,1,watch telugu moviewat abt u
97,0,i see. When we finish we have loads of loans to pay,51,13,2,finish load loan pay
98,0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",184,46,5,hi wk ok hol ye bit run forgot hairdress appoint need home n shower caus prob u ham
99,0,Please don't text me anymore. I have nothing else to say.,57,14,2,nt text anymor
100,0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,23,4,okay ur price long legal wen pick y u ave x am xx
101,0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,19,2,m look car buy gone drive test
103,0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,44,5,wow right nt mean guess gave boston men chang search locat nyc cuz signin page say
104,0,Umma my life and vava umma love you lot dear,44,10,1,umma life vava love lot dear
105,0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,19,2,thank lot wish birthday make truli memor
106,0,"Aight, I'll hit you up when I get some cash",43,12,1,aight ill hit cash
107,0,How would my ip address test that considering my computer isn't a minecraft server,82,15,1,ip address test consid comput nt minecraft server
108,0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,28,4,know grumpi old peopl mom like better lie play joke
109,0,Dont worry. I guess he's busy.,30,10,2,nt worri guess s busi
110,0,What is the plural of the noun research?,40,9,1,plural noun research
111,0,Going for dinner.msg you after.,31,6,1,go dinnermsg
112,0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,28,3,m ok wif co like tri new thing scare u dun mah said loud
113,1,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,159,33,7,gent tri contact weekend draw show won prize guarante claim code k valid hr ppm
114,0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,34,4,wa ur openin sentenc formal m fine juz tt eatin n puttin weighthaha anythin special happen
115,0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,40,5,enter cabin pa said happi bday bos felt special askd lunch invit apart went
116,1,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,153,35,1,winner u special select receiv holiday flight inc speak live oper claim pmin
117,0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72,16,2,goodo ye speak friday eggpotato ratio tortilla need
118,0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,20,2,hmmmi uncl inform s pay school directli pl buy food
119,1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,23,3,privat account statement show unredeem bonu point claim identifi code expir
120,1,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",157,30,4,urgent mobil award bonu caller prize final tri contact u landlin boxwrc ppm
121,0,here is my new address -apples&pairs&all that malarky,53,8,1,new address applespairsal malarki
122,1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,29,2,today voda number end select receiv award match quot claim code standard rate app
123,0,I am going to sao mu today. Will be done only at 12 ,52,14,2,go sao mu today
124,0,ÌÏ predict wat time Ì_'ll finish buying?,40,8,1,ìï predict wat time ìll finish buy
125,0,"Good stuff, will do.",20,6,1,good stuff
126,0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,57,4,knowyetund nt sent money text bother send involv impos place apologis
127,0,Are you there in room.,22,6,1,room
128,0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,31,6,hey girl r u hope del bak long time c sum lucyxx
129,0,K..k:)how much does it cost?,28,8,1,kkhow cost
130,0,I'm home.,9,4,1,m home
131,0,"Dear, will call Tmorrow.pls accomodate.",39,7,1,dear tmorrowpl accomod
132,0,First answer my question.,25,5,1,answer question
133,1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,126,30,3,sunshin quiz wkli q win soni dvd player u know countri algarv txt ansr sptyron
134,1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,34,5,want laid tonight real dog locat sent direct ur mob join uk largest network bt txting gravel nt eca pmsgp
135,0,I only haf msn. It's yijue@hotmail.com,38,8,2,haf msn yijuehotmailcom
136,0,He is there. You call and meet him,34,9,2,meet
137,0,No no. I will check all rooms befor activities,46,10,2,check room befor activ
138,1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,35,3,ll rcv msg chat svc free hardcor servic text u age verifi yr network tri
139,0,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,86,25,3,got c lazi type forgot ì lect saw pouch like v nice
140,0,"K, text me when you're on the way",33,10,1,k text way
141,0,"Sir, Waiting for your mail.",27,7,1,sir wait mail
142,0,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",158,34,2,swt thought nver tire littl thing lovabl person cozsomtim occupi d biggest heart gud ni
143,0,I know you are. Can you pls open the back?,42,12,2,know pl open
144,0,Yes see ya not on the dot,25,7,1,ye ya dot
145,0,Whats the staff name who is taking class for us?,48,12,1,s staff take class
146,1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,35,3,freemsg nt repli text m randi sexi femal live local luv hear u netcollex ltd p msg stop end
147,0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,16,1,ummmawil check inour life begin qatar pl pray hard
148,0,K..i deleted my contact that why?,33,9,1,ki delet contact
149,0,Sindu got job in birla soft ..,30,7,1,sindu got job birla soft
150,0,The wine is flowing and i'm i have nevering..,45,11,1,wine flow m never
151,0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59,16,1,yup thk cine better co need plaza mah
152,0,Ok... Ur typical reply...,25,6,1,ok ur typic repli
154,0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384,95,5,dirt floor window shirt open mouth come flow dream world half chore time joy lot tv show ill guess like thing exist rain hail mist
155,0,Aaooooright are you at work?,28,6,1,aaooooright work
156,0,I'm leaving my house now...,27,7,1,m leav hous
157,0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,39,6,hello love interview today happi good boy think mear miss
158,1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124,21,3,custom servic annonc new year deliveri wait arrang
159,1,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,146,30,1,winner u special select receiv cash holiday flight inc speak live oper claim
160,0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115,25,3,safe need miss envi see real life
161,0,New car and house for my parents.:)i have only new job in hand:),64,14,1,new car hous parentsi job hand
162,0,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85,24,3,m love excit day spend happi
163,1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,152,31,3,pl stop bootydeli f invit friend repli ye wwwsmsacubootydeli send frnd
164,1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",155,37,4,bangbab ur order way u receiv servic msg download content goto wap bangb tv mobil internetservic menu
165,0,I place all ur points on e cultures module already.,51,11,1,place ur point e cultur modul
166,1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,157,32,6,urgent tri contact weekend draw show won prize guarante claim code s valid hr
167,0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",74,16,1,hi frnd best way avoid missunderstd wit belov one
168,0,Great escape. I fancy the bridge but needs her lager. See you tomo ,67,15,3,great escap fanci bridg need lager tomo
169,0,Yes :)it completely in out of form:)clark also utter waste.,59,12,1,ye complet formclark utter wast
170,0,"Sir, I need AXIS BANK account no and bank address.",50,12,1,sir need axi bank account address
171,0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",94,25,4,hmmm thk sure got time hop ard ya free abt muz u discus liao
172,0,What time you coming down later? ,33,7,1,time come later
173,0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",105,25,2,bloodi hell nt believ forgot surnam mr ill u clue spanish begin m
174,0,"Well, i'm gonna finish my bath now. Have a good...fine night.",61,18,2,m gon na finish bath goodfin night
175,0,Let me know when you've got the money so carlos can make the call,65,15,1,let know ve got money carlo
176,0,U still going to the mall?,26,7,1,u go mall
177,0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",146,36,1,turn friend stay wo nt til ltgt feel free ahead smoke worth
178,0,Text her. If she doesnt reply let me know so i can have her log in,66,18,2,text nt repli let know log
179,0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126,29,4,hi spoke maneesha v d like know satisfi experi repli toll free ye
180,0,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,159,34,4,lift hope offer money need especi end month approach hurt studi anyway gr weekend
181,0,Lol no. U can trust me.,23,8,2,lol u trust
182,0,ok. I am a gentleman and will treat you with dignity and respect.,65,15,2,ok gentleman treat digniti respect
183,0,"He will, you guys close?",24,7,1,guy close
184,0,Going on nothing great.bye,26,4,1,go greatby
185,0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,152,33,6,hello handsom find job lazi work get net mummi s boytoy miss
186,0,"Haha awesome, be there in a minute",34,8,1,haha awesom minut
187,1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,149,25,1,custom servic repres freephon ampm won guarante cash prize
188,0,Have you got Xmas radio times. If not i will get it now,55,14,2,got xma radio time
189,0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,88,22,3,ju reach home bath si net tell u finish k
190,1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,72,12,3,uniqu find th august wwwareyouuniquecouk
191,0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,185,45,5,m sorri ve join leagu peopl nt touch mean great deal friend time person cost week
192,0,Hi :)finally i completed the course:),37,8,1,hi final complet cours
193,0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,111,24,2,stop suggest stay abl or stool
194,0,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,92,22,3,hope ve settl new school year wishin gr day
195,0,Gud mrng dear hav a nice day,28,7,1,gud mrng dear hav nice day
196,0,Did u got that persons story,28,6,1,u got person stori
197,0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,64,17,2,hamster dead hey tmr meet pm orchard mrt
198,0,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,131,33,6,hi kate even hope tomorrow bit bloodi babyjontet txt u xxx
199,0,"Found it, ENC  &lt;#&gt; , where you at?",40,13,1,found enc ltgt
200,0,I sent you  &lt;#&gt;  bucks,28,9,1,sent ltgt buck
201,0,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,84,19,1,hello darlin ve finish colleg txt u love kate xxx
202,0,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,174,34,3,account refil success inr ltdecimalgt keralacircl prepaid balanc r transact d kr ltgt
203,0,Goodmorning sleeping ga.,24,4,1,goodmorn sleep ga
204,0,U call me alter at 11 ok.,25,8,1,u alter ok
205,0,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,64,15,1,ìï like dat dun buy ericsson oso oredi lar
207,0,"Aight yo, dats straight dogg",28,6,1,aight yo dat straight dogg
208,0,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,86,17,1,connect today ltdecimalgt refund bill
209,0,Both :) i shoot big loads so get ready!,39,10,1,shoot big load readi
210,0,"What's up bruv, hope you had a great break. Do have a rewarding semester.",73,18,2,s bruv hope great break reward semest
211,0,Home so we can always chat,26,6,1,home chat
212,0,K:)k:)good:)study well.,23,3,1,kkgoodstudi
213,0,Yup... How Ì_ noe leh...,24,8,2,yup ì noe leh
214,0,Sounds great! Are you home now?,31,8,2,sound great home
215,0,Finally the match heading towards draw as your prediction.,58,10,1,final match head draw predict
216,0,Tired. I haven't slept well the past few nights.,48,12,2,tire nt slept past night
217,0,Easy ah?sen got selected means its good..,41,8,1,easi ahsen got select mean good
218,0,I have to take exam with march 3,32,8,1,exam march
219,0,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,159,40,4,yeah think use gt atm regist sure s help let know readi
220,0,Ok no prob. Take ur time.,25,8,2,ok prob ur time
221,0,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,161,33,1,o call ubandu run instal hard diskyou use copi import file system repair shop
223,0,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,119,30,3,u leh cours happen lar v romant ju bit lor thk e nite sceneri nice
224,1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",143,27,2,new mobil txt nokia collect todayfrom wwwtcbiz optout gbpmtmsg
225,0,Would really appreciate if you call me. Just need someone to talk to.,69,15,2,appreci need talk
226,1,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",137,34,3,u meet ur dream partner soon career flyng start find free txt horo follow star sign e g ari
227,0,Hey company elama po mudyadhu.,30,6,1,hey compani elama po mudyadhu
228,0,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",165,35,3,life strict teacher bcoz teach lesson amp conduct exam happi morn
229,0,Dear good morning now only i am up,34,8,1,dear good morn
